feature,r_pb,p_value
TotalWorkingYears,-0.1710632461362288,4.0618781112642585e-11
JobLevel,-0.1691047509310289,6.79538478001254e-11
YearsInCurrentRole,-0.16054500426770113,6.003185843641105e-10
MonthlyIncome,-0.15983958238499046,7.147363985350651e-10
Age,-0.15920500686578207,8.356308021098199e-10
YearsWithCurrManager,-0.15619931590163003,1.7369867845235664e-09
StockOptionLevel,-0.1371449189333274,1.3010149660015133e-07
YearsAtCompany,-0.1343922139899783,2.3188716103857673e-07
JobInvolvement,-0.13001595678605385,5.67706535674466e-07
JobSatisfaction,-0.10348112606902307,7.043066741729222e-05
EnvironmentSatisfaction,-0.10336897833793737,7.172338549367235e-05
DistanceFromHome,0.07792358295570477,0.0027930600802130536
WorkLifeBalance,-0.06393904721740906,0.014211054989021525
TrainingTimesLastYear,-0.05947779855642085,0.022578499737201028
DailyRate,-0.056651991867629876,0.029858160660263623
RelationshipSatisfaction,-0.04587227888112738,0.07871363048465357
NumCompaniesWorked,0.0434937390578141,0.09552526205651515
YearsSinceLastPromotion,-0.033018775142584514,0.20578995916249115
Education,-0.03137281964004949,0.2293152033222983
MonthlyRate,0.015170212530471627,0.5611235982243002
PercentSalaryHike,-0.013478202057439216,0.6056128238893693
EmployeeNumber,-0.010577242759243254,0.6853275897297106
HourlyRate,-0.006845549572139912,0.7931347689944226
PerformanceRating,0.002888751711080802,0.911884042106901
EmployeeCount,,
StandardHours,,
